"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_0","pland_12","pland_15","pland_23","pland_3","pland_32","pland_33","pland_5","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","loss.1","parent_id.1","no_change.1","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_39","pland_4","pland_41","pland_25","pland_9","pland_24","pland_30","pland_20","pland_11"
"12319",2,2103,2105,-45.7174183148838,-1.00886651311192,0.999999995727371,10950.2598168803,99.701888089849,0.012033349568805,0.0157579577686732,0.0373893361602155,0.0174770077070739,0.00272182906913446,0.112024754319113,0.100707675557975,0,0,29.9021514000461,0,0,13.8016941038813,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7730406255825,38.6616353834181,40.7743553297945,158.784199008312,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6875",2,1191,1193,-58.1048056715448,-13.1710286610422,0.999998814608034,11428.6692263562,99.8301005644214,0.00243532074606767,0.0127496203764719,NA,0.109875941896112,NA,NA,NA,84.67338430781,22.3854049773762,1.84696395558235,74.4306202098274,0,4.3858460948892,0,141.846730117446,5101902,0.696,0.571,0.85,0.695,19248,54.66,771150,41264.47,NA,NA,NA,465.110000610352,1.17385351657867,3.5,234.202365414718,56.3150560008267,274.667219411345,6.10995642604518,0.0318024238604131,0.00673294559206945,0.00630318310746927,NA,NA,NA,NA,NA,NA
"4850",2,698432,698434,-62.8345353752485,-5.73859622754157,0.0126426460585486,368784.093316525,NA,0.0164545225612967,NA,NA,99.3664293399876,NA,0.617116137451066,NA,0,0,8.50200489521491,110.624757788331,0,1.78242790130154,479.874239901508,151.758985726272,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,NA,NA,NA,66.5200004577637,0.841843485832214,12.5,626.971005050737,40.2640639071834,0,6.3943713614626,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4856",2,698439,698441,-62.8345353699029,-4.38724487970279,0.000106005270106291,2923.6130579033,NA,NA,0.00157579577686732,NA,99.9946995960233,NA,0.00372460819986821,NA,0,0,37.2253741466093,121.550556163551,0,1.11421278698477,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,63.3350009918213,0.735931009054184,14.5,500.936748647241,45.132371868,53.3962914155757,24.1897196122809,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1497",2,698442,698444,-70.4921930678305,-10.4683259386214,0.000755334523317219,29360.4381808218,NA,0.00186007646345093,0.0241809940248621,NA,99.9622261395115,NA,0.0117327900002289,NA,0,0,74.8628938338097,105.89155238448,0,0.0919883261985691,0,189.080442844971,1200500,0.603,0.456,0.81,0.593,45177,55.99,500512,11602.31,NA,NA,NA,320.255004882812,3.42976653575897,4.5,1247.62898874438,113.090557742273,35.9749255842442,6.02135720671689,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4067",2,698447,698449,-64.6363371768795,-5.51337102217767,0.506570878997727,386729.53292775,NA,0.00114466243904673,0.0248964080492663,NA,99.0017112703464,NA,0.972247659165312,NA,0,0,82.1288534720457,167.838763186464,0,0.513324670470086,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,78.9650001525879,1.13595402240753,16.5,725.494418488108,115.32795520734,122.524336149689,22.1031206298458,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9262",2,698455,698457,-52.6994002471869,-5.28814579394804,0.0142226953469922,29395.6003821405,NA,NA,0.00343809987680142,NA,99.5289803168782,NA,0.467581583244993,NA,0,0,19.4288113933384,87.5624790891437,0,2.21007040198618,6.33609168582058,617.302104360704,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,NA,NA,NA,202.894996643066,1.71885150671005,5.5,226.35305178486,101.517865421757,13.2450483434396,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5072",2,698455,698457,-62.3840849577194,0.117259609448394,0.970638887891828,3120770.89121312,NA,73.8439389164255,0.000859524969200355,NA,24.0761539122712,NA,2.07904764633413,NA,0,0,95.5751267609265,127.970022949119,0,2.3153699877101,0,0,1400209,0.624,0.518,0.78,0.601,21564,55.18,350653,16852.66,NA,NA,NA,38.2899990081787,0.554331004619598,17,266.918443542545,232.016204061222,59.3973147564067,83.4430302940268,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5084",2,698455,698457,-62.3840849486995,2.81996231381273,0.411583460642023,175895.192883478,NA,NA,0.0365298111910151,NA,99.4173853250437,NA,0.546084863765292,NA,0,0,72.7681489044222,149.349611676587,0,3.80913137152402,0,623.659450550908,1400050,0.542,0.379,0.813,0.518,15638,46.83,278084,17453.31,NA,NA,NA,294.310012817383,7.68771362304688,11,465.309991883417,163.432735572497,51.8747199042239,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6112",2,698455,698457,-59.9066074911987,-8.44129894647653,0.135287582021278,158991.393748921,NA,NA,0.00558691229980231,NA,99.2653926596568,NA,0.729020428043435,NA,0,0,51.3193966873132,179.051888852829,0,0.0341937658835817,0,0,1300144,0.637,0.54,0.772,0.621,21583,52.15,193460,9037.65,NA,NA,NA,120.449996948242,2.78414607048035,9.5,460.601459953529,99.3048241412506,41.2012483093121,39.7136843039237,NA,NA,NA,NA,NA,NA,NA,NA,NA
