"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_12","pland_15","pland_3","pland_33","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_0","loss.1","parent_id.1","no_change.1","pland_4","pland_25","pland_23","pland_32","pland_5","pland_41","pland_24","pland_39","pland_9","pland_20","pland_30","pland_11"
"6023",2,1005756,1005758,-54.1183191676139,-6.52688453556372,0.176046765391621,331002.745243757,0.0467658899548858,0.494026901331932,98.1105585439291,1.34864866478409,0,0,14.990724462263,155.271977048939,0,0.783373714189958,748.841489748928,0,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,240.690002441406,2.88449943065643,8.5,279.670111905737,152.106809491112,0,31.1834575871145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",2,94056,94058,-73.3075083864126,-6.25661425351551,0.991438195779443,78859.8217693761,0.000994026892403547,0.00178924840632638,9.27248165771877,0.065307566830913,0,0,73.1138442626799,124.192396214387,22.9125099605672,1.51306960223272,0,85.1914033393265,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.224998474121,1.45352703332901,17.5,1584.00114556912,152.970942729775,118.031088606239,10.3825459606951,90.6594275001516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4131",2,1005759,1005761,-60.3345354104698,-8.14850614490292,0.105942971322259,137322.31826355,0.00506953715125809,9.94026892403547e-05,99.4838018347748,0.511029225384664,0,28.5911167855183,8.56991921014506,210.671097949672,0,1.07775971626237,43.8993600242841,0,1300144,0.637,0.54,0.772,0.621,21583,52.15,193460,9037.65,118.715000152588,4.28916835784912,10.5,481.841770927669,115.509457189423,11.2860921369743,71.7523213249198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4215",2,1005763,1005765,-60.064265164109,-7.60796560702867,0.000608251937405879,21430.1012385382,0.0111331011949197,0.000497013446201774,99.9695827770925,0.018787108266427,0,0,24.0146566897768,145.690533589699,0,0.331905222333442,36.5585440887226,0,1300144,0.637,0.54,0.772,0.621,21583,52.15,193460,9037.65,108.314998626709,2.06433296203613,11.5,427.359737424926,48.7591399188665,13.3297310282595,131.754672583581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5143",2,1005759,1005761,-57.0912921720306,-0.580938589520943,0.000212710442338282,4499.95241154019,NA,0.00427431563733525,99.9893639122513,0.0063617721113827,0,0,32.7951036879576,92.717957023723,0,3.09460990140763,0,711.795620806877,1505304,0.623,0.52,0.778,0.599,72160,61.23,1700273,23921.23,141.315002441406,9.51727104187012,17,131.971212041457,180.146175807015,32.8052142303732,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004",2,1005756,1005758,-67.3615624256286,-6.79715478284884,0.012313636559047,288070.724049779,0.000198805378480709,0.000695818824682483,99.3824110917497,0.616694284047161,0,0,80.5960892623706,246.928003971869,0,1.71527856488494,0,892.97703582933,1301951,0.477,0.266,0.772,0.529,7888,55.91,93772,11536.94,125.994998931885,2.58100152015686,13.5,1043.61207661626,218.597739285034,103.6651867317,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3416",2,1005755,1005757,-62.7669678500849,-1.93228992477135,0.00287552462272656,100500.77775262,0.0381092252185559,0.00875616662985097,99.8561202619686,0.0970143461830079,0,0,82.7556317511403,120.506399361884,0,3.34682484537551,898.631935654199,0,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,55.0699996948242,0.932599008083344,18,320.031727414365,215.670763173244,0,159.674577234416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3496",2,1005755,1005757,-62.4966975685199,-2.47283045848313,0.00930025516999999,233518.02227397,0.00188865109556674,NA,99.5422506160482,0.455860732856267,0,0,99.3240540385729,175.977526132808,0,1.06408101519036,898.31470041749,0,1303205,0.57,0.434,0.776,0.551,18974,54.53,131530,7076.84,55.0699996948242,0.829881012439728,18,323.747683772006,170.656940370014,0,149.906765676003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3515",2,1005751,1005753,-62.4966975661413,2.662304661982,0.261822518522688,191432.401769118,0.0415503241024683,0.106062669419458,99.4245578319876,0.427829174490487,0,0,82.7547140268511,254.109219007321,0,1.17405174747408,0,898.185001898529,1400308,0.665,0.547,0.813,0.661,17528,56.57,300036,17804.2,295.44499206543,4.46631693840027,9,457.772713905589,168.448722287063,69.5958520941974,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3599",3,1005758,1005761,-62.2264272888766,3.20284520390347,0.084769252209916,614649.23758796,0.00318088605569135,0.0436377805765157,97.974769609417,1.97841172395078,0,0,47.7988283664136,343.159011666374,0,1.66525479375408,0,833.597200123086,1400027,0.484,0.319,0.815,0.437,12394,47.71,163220,14119.38,303.160003662109,4.32137203216553,12.5,493.024660511062,165.538638091775,25.4446693177703,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4049",3,1005758,1005761,-60.6048056453751,-8.14850614118207,0.0193637718502612,79818.8280210495,9.94026892403547e-05,0.00328028874493171,99.7263443965213,0.270275912044524,0,4.80424765001959,18.0875451767534,230.324976691182,0,1.01179669579712,727.241164617817,0,1303304,0.554,0.421,0.759,0.532,25237,51.43,183026,7288.37,117.735000610352,2.73328852653503,10.5,507.735983709543,107.676183966926,0,55.9129034016854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5295",3,1005754,1005757,-56.5507516171763,-3.82418182468548,0.00110217708938365,26731.2869555317,NA,0.0436813312557338,99.9453734604569,0.0109452082873137,0,0,33.2083135029373,226.380248119715,0,0.625564638971138,263.883386372166,401.631900253826,1501006,0.541,0.45,0.748,0.47,16371,54.52,144717,9074.85,100.150001525879,7.13390207290649,11.5,151.233525750093,74.7601101240992,3.33234264212473,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1840",3,1005755,1005758,-67.9021029583913,-6.79715479387708,0.00169111819549383,64511.6128506035,NA,NA,99.9154083114565,0.0845916885435419,0,0,54.8139945421337,191.699302313651,0,1.10692492370587,0,892.977534287243,1301951,0.477,0.266,0.772,0.529,7888,55.91,93772,11536.94,146.699996948242,1.49152600765228,13.5,1090.40432791431,215.474931834642,133.018430174164,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2668",3,1005782,1005785,-65.1994002602242,-4.63499264017259,0.000500926806138335,11876.9235779803,0.0010934295816439,0.013717571115169,99.9749505223114,0.0102384769917565,0,0,20.62990537475,200.262829375941,0,1.35502998612628,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,92.8099975585938,0.621901482343674,15.5,707.371789637662,149.070199575192,27.0876082105989,136.069797471776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2829",3,1005765,1005768,-64.6588597079729,-5.44580343546812,0.305462178899883,243181.854502061,0.00268387260948958,0.0190853163341481,99.3700851582839,0.60814565277249,0,0,74.2638432696678,181.471645502944,0,1.85373437444598,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,87.5050010681152,1.22056496143341,16.5,721.849841942535,123.177188576386,130.39410857729,29.9186562360211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
