"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_12","pland_15","pland_3","pland_33","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_0","pland_4","loss.1","parent_id.1","no_change.1","pland_9","pland_24","pland_39","pland_41","pland_25","pland_23","pland_32","pland_5","pland_20","pland_30","pland_11"
"2007",2,1788082,1788084,-62.2714723177094,3.33798031941149,0.0806774567476721,271727.586466299,0.00592540916068256,0.0396890613592889,99.2195229933826,0.734862536097481,0,0,42.431448270551,489.815564306391,0,1.68912143072345,0,1311.44976821608,1400027,0.484,0.319,0.815,0.437,12394,47.71,163220,14119.38,313.945007324219,5.6488184928894,12.5,508.56897688518,174.66170647805,31.5158587775116,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1248",2,1788049,1788051,-66.5957966582366,-6.3917493919038,0.00571465175109098,106945.618428247,0.00413970034163716,5.59418965086103e-05,99.8202027446213,0.175601613140528,0,1.3898682110445,26.1968852673706,396.189274232912,0,1.37370033431945,0,113.772868276753,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,114.584999084473,0.881720513105392,13.5,949.955206936848,170.786109191253,103.101671481547,16.0395858108242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3858",2,3184,3186,-51.1003011602508,-11.0764340817407,0.999997505900453,7223.81118264728,0.0122512753353857,0.00643331809849018,0.158930927980962,NA,33.1023640616916,0,8.90440975125842,239.771389590476,0,0.640403001212393,0,89.2364707567635,5105309,0.676,0.634,0.788,0.617,2099,61.18,29644,14509.96,184.055000305176,0.559576511383057,2.5,391.08512757562,61.1479733231233,78.1335128915755,17.892606331402,99.8195873837597,0.00279709482543052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005",3,1788088,1788091,-62.27147231934,2.61725960933066,0.00913894354574685,138996.091031543,0.0114121468877565,0.0858708111407168,99.555094097067,0.347622944904504,0,0,57.2546155014545,400.916806489124,0,2.31682618387808,0,1596.8308614903,1400308,0.665,0.547,0.813,0.661,17528,56.57,300036,17804.2,282.725006103516,5.65034890174866,7,439.68070421342,143.15985440213,48.1245139331637,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1003",3,1788003,1788006,-68.0372380911372,-6.7521097568258,0.00427831852680383,115518.704688185,0.00134260551620665,0.00330057189400801,99.7978819279144,0.197474894675394,0,0,41.5412038294179,427.117894708324,0,0.354160471645156,0,1587.52230670407,1301951,0.477,0.266,0.772,0.529,7888,55.91,93772,11536.94,154.930000305176,1.26603096723557,13.5,1099.31441688957,200.311263215473,131.634656981775,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2530",3,1787982,1787985,-59.0282290631362,-6.03138901746381,0.343045148852908,109334.05406616,0.00827321279038697,0.00525460812362416,99.4034342777094,0.583037901376596,0,0,75.2112520284229,280.533774949486,47.318827376856,0.842049300834497,1589.84350289308,0,1300805,0.56,0.425,0.776,0.532,40565,54.38,295945,7313.77,95.5199966430664,5.06278705596924,10.5,270.693047748993,158.721137333809,0,83.7505339391392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2067",4,1787958,1787962,-61.9111119880398,2.97761995540398,0.000253960084170335,8344.74740065802,NA,0.0126988105074545,99.9873011894925,NA,0,0,21.7026704640308,402.192023849991,0,0.299087063591194,904.609772321388,671.539075246595,1400050,0.542,0.379,0.813,0.518,15638,46.83,278084,17453.31,257.980010986328,4.07955408096313,3.5,454.937502462764,123.558938561073,0,0.321710865984772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1002",4,1788060,1788064,-68.037238088081,-7.11247009647381,0.000698033013372457,26881.7111538418,0.00749621413215378,0.00307680430797357,99.9650922565786,0.0243347249812455,0,0,73.1084296921123,300.549629364126,0,1.94211964492608,0,676.16424300576,1301951,0.477,0.266,0.772,0.529,7888,55.91,93772,11536.94,162.049995422363,1.22561448812485,12.5,1123.61183727763,205.732560819837,101.954695206894,5.37076115915929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1368",4,1788049,1788053,-65.8750759220809,-7.11247009160035,0.000823295193071893,36990.8951939414,NA,NA,99.9588267641697,0.0411732358303372,0,0,54.739174041407,239.904228995816,0,1.63055157204772,0,1586.41020630523,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,106.465000152588,1.37723451852798,11.5,948.298185706886,119.028027509321,36.7703834939428,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1870",4,1788117,1788121,-62.9921930759683,-2.06742507860592,0.00198793611913972,70317.2914596331,0.0143663222103341,0.00285090440749821,99.9005537462561,0.0822290271260759,0,0,95.8519036390043,233.255751596886,0,2.14119169897763,1594.29614592061,0,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,59.4000015258789,0.749405980110168,19,349.011998978363,224.170355465837,0,187.265550762234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2665",4,1787953,1787957,-58.3075083568843,-1.34670435413468,0.0533553666087274,79005.2452908073,0.0813395175235194,0.0320547066994337,99.7743303894843,0.112275386292781,0,0,22.3397220847195,344.595860984621,0,1.95985407544186,0,809.530833765533,1303007,0.586,0.503,0.779,0.513,20899,58.03,142087,6797.78,220.174995422363,3.14426100254059,9.5,200.3461402355,138.393469316057,57.487817325364,1.43708510051805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2280",5,1787910,1787915,-60.4696704922201,-8.19355116695666,0.503924876547709,147050.225339034,0.00290897861844774,0.0010628960336636,99.4290570042331,0.566971121114765,0,44.5262258175808,2.53762714810179,396.195631200964,0,0.705388494154205,680.552345235974,0,1300144,0.637,0.54,0.772,0.621,21583,52.15,193460,9037.65,83.9899978637695,1.85518300533295,10.5,497.212717264509,116.796561382432,0.749665040757065,66.9087948131627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",5,400162,400167,-73.4426434707738,-8.55391154853196,0.949920856523052,65525.7592097914,NA,0.0169377261857247,22.3783697969597,NA,0,0,56.6011733250605,86.584251454253,0,9.15267286882327,349.879766175138,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,247.915000915527,2.01553046703339,11.5,1629.45058486146,81.8788010882209,11.0278903030648,68.1935512026987,77.6046924768546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459",5,1787997,1788002,-71.2804813594127,-4.95030794582236,0.000287520678047604,10171.4582744342,NA,0.000839128447629155,99.9856229325973,0.0135379389550837,0,16.8244827055226,19.8893556714048,343.619493531737,0,0.543619146948592,0,1592.65016425235,1300201,0.45,0.259,0.733,0.481,19438,49.72,141142,7407.49,148.770004272461,1.62241351604462,20,1322.41418571022,151.391237881954,315.773418857037,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564",5,301984,301989,-70.559760612535,-11.0764340669468,0.97140914743549,42865.4312994238,NA,0.000279709482543052,16.908829813003,NA,0,0,91.6358748670299,166.360089522329,0,1.37310738280984,156.349589752178,110.90640867358,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.960006713867,2.78187191486359,8.5,1230.74855322089,108.859880133753,13.7465750293999,10.767339483612,83.0908904775144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715",5,11400,11405,-69.8390399005132,-0.625983619140268,0.999960785252829,22916.9182346382,0.000279709482543051,NA,0.629010684342814,0.00872693585534321,0,0,96.3028647853454,146.929684396169,0,4.81909947707547,0,11.8529560114428,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.875,1.58600598573685,23,1079.81229721386,310.378315195815,218.017662058649,23.4957272348695,99.3619826703193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
